
=== SIMULATING 10 GAMES ===
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
